event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.02867977678160702,0.0324167085401591,0.0036585518092422924
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.0372059822699457,-0.02930539944888344,0.03525277229938925
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.02341817768998991,0.0012769169754619503,0.016333168551727482
12,6,2014-07,8.0,11.0,0.375,3,state,-0.013195771619999241,-0.005398794711998223,0.10651598309964866
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.023125313572121803,0.0033597331982723744,0.021372182016678877
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.004567563719269863,-0.03708120185389385,0.020349416760373048
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.05178426454288612,0.004952569033294885,0.0036111309768742587
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.02264786953039105,-0.004023901976087985,0.0021461757419541784
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.025377673343641827,-0.02672665882670555,0.08584527409740318
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.0015422615524233185,0.002395654473709097,0.00722292515507341
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.013327948393722089,0.005854041014944356,0.006854413408204813
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.0029029849582998257,-0.025913115317747315,0.05459604172884549
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.02462063153667099,0.046608822217094725,0.004158323444308283
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.00983593271833949,0.01617529638708398,0.021123395251236146
41,25,2015-01,8.0,11.0,0.375,3,state,-0.03040295802292109,-0.02242670736831781,0.03582777303233692
43,26,2014-09,7.4,9.25,0.25,1,state,0.022436094991880956,0.01234973618562013,0.04619931916271689
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.021175533556895693,-0.0025280060411995153,0.022601468763343267
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.040007011986358754,-0.0029475456081520246,0.03188175709402742
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.025197090957795487,0.005888411023526607,0.004660939846921227
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.025050215837506523,0.06072411936536393,0.009516018675891177
53,31,2023-01,9.0,13.5,0.5,3,state,0.003515394857843838,-0.028330544052564632,0.010180933427845856
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.022213569301993502,-0.016772568209730443,0.01282308681353785
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.02693246169293198,0.0513722823991451,0.04222798763120671
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.046054283915783284,0.014508235442183104,0.004886925638706293
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.007437899480410959,0.005552335779875128,0.03543042598810425
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.03357509341411544,0.006676840109094806,0.05636952859715028
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.006886381093333338,0.002415695065096979,0.01684832903689304
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.021746136572951297,-0.012824425615649782,0.005478658547000836
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.021117488721056676,0.03541772803394888,0.004340503644321018
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.018013798803074854,-0.016802630158106402,0.004511991929513287
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.02615235730393156,0.0007628479926919396,0.0373968317238897
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.014914833919719261,-0.012100877119030018,0.032620272719671016
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.004797531360075713,0.03803375975980389,0.008171896000399272
