event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
12,6,2014-07,8.0,11.0,0.375,3,California,-0.25942886665860543,-0.20684091444916675,0.1598332640016485
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,,,0.0
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.31728703444896916,0.24091933120936204,0.286460643329611
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.008406256059246608,,0.13486604526773352
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,-0.21502400052808424,,0.12237095788270623
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,,,0.0
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.017280763903979146,-0.10597601817295854,0.2561776836788318
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,,,0.0
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,,,0.0
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,0.1913606999955162,-0.07207309573215115,0.04029140583946899
