event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.028948246232978148,0.03213928250795145,0.0034760116437920563
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,0.03479186554513203,-0.014131524878472745,0.003730042802126711
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.03746691116718198,-0.029826335089901845,0.0334938668024509
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.023706424243210372,0.0008811936502833295,0.015518239736936036
12,6,2014-07,8.0,11.0,0.375,3,California,-0.003355887081345321,-0.0042814515583345925,0.18113871041987065
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.010134672996212818,0.01098198628328495,0.02243077377153212
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.005274578018823861,-0.0364698795772585,0.01933410083868227
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.0005228159301344792,0.051519833377281554,0.0045042174028702316
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.051873374958141844,0.005659396754998436,0.0034309568313787985
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.023677047207058127,-0.0032129853292808264,0.0020390942257017862
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.024746772064975442,-0.025619741440580157,0.08156210104043718
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,-0.0012737921010521902,0.0021182284415014463,0.006862543774246433
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,-0.013746893243266944,0.005689468364553973,0.006512418590901091
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,-0.000270598165584085,-0.020543910453824588,0.06330966079941733
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,-0.0258753098785989,0.044493972236067214,0.0056920175231405575
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.014755679105525,0.011923605434400852,0.026990462959956336
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.03013448857154996,-0.02270413340052546,0.034040178388873125
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.023202549837137737,0.012721760538043636,0.043894245515175144
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,-0.020145363484618067,-0.00017341293825468007,0.02543574745520082
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,-0.03991790157110303,-0.0022407178864484734,0.030291045381243643
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,-0.024891956474807797,0.006530577529516579,0.004428386428199297
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,0.02531868528887765,0.060446693333156276,0.009041225447833963
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.0033788822893282187,-0.028545301782607002,0.00967296487382346
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.022554741684534974,-0.016715280031686208,0.012183290382990455
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,0.0028148909899242125,-0.01942743119520629,0.045045087328176484
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.027010597714492324,0.051687121474008724,0.0401210600131918
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,0.03417379218984809,-0.0006517998343875675,0.008585725072387506
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.0008959394995677883,0.004801636962773026,0.0901772339416613
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,0.03388022789710313,0.007319006615084778,0.05355702145963166
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.0006502942237929799,-0.00020348634733291515,0.0186891879980828
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.02147766712158017,-0.013101851647857432,0.005205305786193001
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,0.021385958172427805,0.03514030200174123,0.0041239381029037426
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,0.018318933286062544,-0.01616046365211643,0.004286870133713417
76,50,2018-01,10.0,11.75,0.175,2,Vermont,-0.011574485686177916,-0.03385973774183437,0.0027923400876213225
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,-0.02588555269386769,0.0011250995210508319,0.035530950302462665
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,0.0023493092616451716,-0.022412588526047494,0.0351088101679283
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.005066000811446841,0.037756333727596236,0.007764166569265715
