g,t,ATT
2014,2011,-0.41002814186942715
2014,2012,-0.10805743614520562
2014,2013,0.006517722353838344
2014,2014,0.013009102705836051
2014,2015,-0.042519043792679574
2014,2016,0.020010834712955013
2014,2017,-0.018806262035038795
2014,2018,-0.01863428220603114
2014,2019,0.0003522443004197115
2014,2020,-0.00014990222355967114
2014,2021,-0.061101471327944835
2014,2022,0.06465976209026211
2014,2023,0.018432506511989556
2014,2024,-0.0441500786452984
2018,2012,-0.09801920277557094
2018,2013,0.05629555072637206
2018,2014,0.012086217546152061
2018,2015,-0.003587196843167273
2018,2016,0.0063207047053402896
2018,2017,0.004471561580701028
2018,2018,0.008926666671349823
2018,2019,0.012858489199506107
2018,2020,0.0018213593757669538
2018,2021,-0.02317841127800114
2018,2022,0.014913317629611955
2018,2023,0.11441340309492366
2018,2024,-0.041941593641970504
2020,2012,0.004377785184532038
2020,2013,0.07255100638494019
2020,2014,-0.03811807454906603
2020,2015,0.03094030015104749
2020,2016,-0.040330865222646874
2020,2017,0.03774718234484205
2020,2018,-0.07963479443492384
2020,2019,0.02402227109903056
2020,2020,0.01008515487534467
2020,2021,-0.02886543754882885
2020,2022,0.007951412994882001
2020,2023,0.02429964693175829
2020,2024,-0.037094268556451676
2021,2012,-0.06268947538085863
2021,2013,0.03745427174677636
2021,2014,0.018031479884301725
2021,2015,0.005821222784609031
2021,2016,-0.027504932994878363
2021,2017,0.024686057787834628
2021,2018,-0.051424259691298296
2021,2019,0.03676735196771955
2021,2020,0.090557942162645
2021,2021,-0.10964008203744176
2021,2022,-0.12135502583023434
2021,2023,-0.13898498466944284
2021,2024,-0.07336393478000433
2022,2012,0.023946674845507138
2022,2013,0.06406589470965576
2022,2014,0.028160096881720782
2022,2015,-0.09533407208118508
2022,2016,0.020619188765629008
2022,2017,-0.00467894742868067
2022,2018,0.05659463860011876
2022,2019,-0.07915607052978858
2022,2020,0.03419981534641752
2022,2021,-0.051555617671750556
2022,2022,0.039952111088096674
2022,2023,0.017694624407332563
2022,2024,-0.004166102248012116
2024,2011,-0.9780899207701751
2024,2012,-0.0714658017127264
2024,2013,0.08838330646882529
2024,2014,-0.0038277254358987725
2024,2015,-0.045236364382858815
2024,2016,-0.005447058152086744
2024,2017,0.005003613684806223
2024,2018,-0.03238640828318496
2024,2019,0.04994951620792261
2024,2020,-0.055471781739031535
2024,2021,0.08940317179916472
2024,2022,-0.018168919412873907
2024,2023,-0.06673908807806075
2024,2024,0.11538619376681802
